banque;date;pays;Effectif;impot courant;impot différé;Produit Net Bancaire;NB filiales périmètre en +;NB filiales CBCR;impot sur bénéfice;Resultat avant impot;resultats/effectifs;Total filiales;resultats/pnb
BPCE;2014-12-31;Congo;224;;;210000000;;1;-30000000;80000000;357143;1;0.380952
BPCE;2014-12-31;Portugal;149;;;310000000;;2;-20000000;40000000;268456;2;0.129032
SG;2014-12-31;Philippines;;;;;;1;;;;1;
BPCE;2014-12-31;Djibouti;277;;;200000000;;1;-10000000;30000000;108303;1;0.15
BPCE;2014-12-31;Equateur;20;;;30000000;;1;-10000000;20000000;1000000;1;0.666667
SG;2014-12-31;Suisse;709;-30000000;;2320000000;;8;-30000000;360000000;507757;8;0.155172
BNP;2014-12-31;Grèce;23;;;20000000;;2;;;;2;
BPCE;2014-12-31;Belgique;72;;;210000000;;10;-10000000;150000000;2.08333e+06;10;0.714286
BPCE;2014-12-31;Maroc;4;;;-70000000;;4;;-80000000;-20000000;4;1.14286
CA;2014-12-31;Serbie;863;;;310000000;;1;;10000000;11587.5;1;0.0322581
SG;2014-12-31;Bulgarie;1506;-30000000;;930000000;;4;-30000000;350000000;232404;4;0.376344
CM;2014-12-31;Suisse;350;-10000000;;870000000;1;4;-10000000;30000000;;5;
BNP;2014-12-31;Guernesey;18;;;70000000;;2;;10000000;555556;2;0.142857
BPCE;2014-12-31;Thaïlande;71;;;50000000;;1;;;;1;
CA;2014-12-31;Grèce;132;-30000000;-140000000;180000000;3;4;-170000000;-30000000;-227273;7;-0.166667
BNP;2014-12-31;France;56953;-9210000000;370000000;134970000000;;158;-8840000000;18490000000;324654;158;0.136993
SG;2014-12-31;Côte d'Ivoire;1147;-100000000;10000000;1110000000;;2;-90000000;480000000;418483;2;0.432432
BNP;2014-12-31;Mexique;181;;;140000000;;4;;10000000;55248.6;4;0.0714286
BPCE;2014-12-31;Brésil;83;;;200000000;;3;-20000000;110000000;1.3253e+06;3;0.55
CA;2014-12-31;France;38053;4540000000;-2530000000;75870000000;200;422;2010000000;1540000000;40469.9;622;0.0202979
CA;2014-12-31;Maroc;2522;-110000000;-10000000;1850000000;2;2;-120000000;340000000;134814;4;0.183784
BNP;2014-12-31;Suisse;1500;-490000000;2470000000;4110000000;;7;1980000000;-450000000;-300000;7;-0.109489
SG;2014-12-31;États-Unis;2455;-350000000;-1870000000;12050000000;1;30;-2220000000;2190000000;892057;31;0.181743
