date;banque;indicateur;reecriture;valeur
2015-12-31;BNP;resultats/effectifs;Qatar;3.57143e+06
2015-12-31;BNP;resultats/pnb;Qatar;0.588235
2015-12-31;BNP;Produit Net Bancaire;Sénégal;500000000
2015-12-31;BNP;Resultat avant impot;Sénégal;150000000
2015-12-31;BNP;impot courant;Sénégal;-40000000
2015-12-31;BNP;impot sur bénéfice;Sénégal;-40000000
2015-12-31;BNP;Effectif;Sénégal;443
2015-12-31;BNP;resultats/effectifs;Sénégal;338600
2015-12-31;BNP;resultats/pnb;Sénégal;0.3
2015-12-31;BNP;Produit Net Bancaire;Tunisie;740000000
2015-12-31;BNP;Resultat avant impot;Tunisie;140000000
2015-12-31;BNP;impot courant;Tunisie;-90000000
2015-12-31;BNP;impot différé;Tunisie;30000000
2015-12-31;BNP;impot sur bénéfice;Tunisie;-60000000
2015-12-31;BNP;Effectif;Tunisie;1230
2015-12-31;BNP;resultats/effectifs;Tunisie;113821
2015-12-31;BNP;resultats/pnb;Tunisie;0.189189
2015-12-31;BNP;Produit Net Bancaire;Turquie;12420000000
2015-12-31;BNP;Resultat avant impot;Turquie;3560000000
2015-12-31;BNP;impot courant;Turquie;-810000000
2015-12-31;BNP;impot différé;Turquie;20000000
2015-12-31;BNP;impot sur bénéfice;Turquie;-790000000
2015-12-31;BNP;Effectif;Turquie;10645
2015-12-31;BNP;resultats/effectifs;Turquie;334429
2015-12-31;BNP;resultats/pnb;Turquie;0.286634
2015-12-31;BNP;Produit Net Bancaire;Argentine;1120000000
2015-12-31;BNP;Resultat avant impot;Argentine;680000000
2015-12-31;BNP;impot courant;Argentine;-210000000
2015-12-31;BNP;impot différé;Argentine;-40000000
2015-12-31;BNP;impot sur bénéfice;Argentine;-250000000
2015-12-31;BNP;Effectif;Argentine;242
2015-12-31;BNP;resultats/effectifs;Argentine;2.80992e+06
2015-12-31;BNP;resultats/pnb;Argentine;0.607143
2015-12-31;BNP;Produit Net Bancaire;Brésil;6820000000
2015-12-31;BNP;Resultat avant impot;Brésil;2250000000
2015-12-31;BNP;impot courant;Brésil;-1020000000
2015-12-31;BNP;impot différé;Brésil;380000000
2015-12-31;BNP;impot sur bénéfice;Brésil;-640000000
2015-12-31;BNP;Effectif;Brésil;1394
2015-12-31;BNP;resultats/effectifs;Brésil;1.61406e+06
2015-12-31;BNP;resultats/pnb;Brésil;0.329912
2015-12-31;BNP;Produit Net Bancaire;Iles Cayman;390000000
2015-12-31;BNP;Resultat avant impot;Iles Cayman;1340000000
2015-12-31;BNP;resultats/pnb;Iles Cayman;3.4359
2015-12-31;BNP;Produit Net Bancaire;Canada;530000000
2015-12-31;BNP;Resultat avant impot;Canada;190000000
2015-12-31;BNP;impot courant;Canada;-100000000
2015-12-31;BNP;impot différé;Canada;30000000
2015-12-31;BNP;impot sur bénéfice;Canada;-70000000
2015-12-31;BNP;Effectif;Canada;336
2015-12-31;BNP;resultats/effectifs;Canada;565476
2015-12-31;BNP;resultats/pnb;Canada;0.358491
2015-12-31;BNP;Produit Net Bancaire;Chili;580000000
2015-12-31;BNP;Resultat avant impot;Chili;290000000
2015-12-31;BNP;impot courant;Chili;-10000000
2015-12-31;BNP;impot différé;Chili;-60000000
2015-12-31;BNP;impot sur bénéfice;Chili;-70000000
2015-12-31;BNP;Effectif;Chili;350
2015-12-31;BNP;resultats/effectifs;Chili;828571
2015-12-31;BNP;resultats/pnb;Chili;0.5
2015-12-31;BNP;Produit Net Bancaire;Colombie;210000000
2015-12-31;BNP;Resultat avant impot;Colombie;-10000000
2015-12-31;BNP;impot courant;Colombie;-20000000
2015-12-31;BNP;impot différé;Colombie;-10000000
2015-12-31;BNP;impot sur bénéfice;Colombie;-30000000
2015-12-31;BNP;Effectif;Colombie;256
2015-12-31;BNP;resultats/effectifs;Colombie;-39062.5
2015-12-31;BNP;resultats/pnb;Colombie;-0.047619
2015-12-31;BNP;Produit Net Bancaire;États-Unis;44540000000
2015-12-31;BNP;Resultat avant impot;États-Unis;10670000000
2015-12-31;BNP;impot courant;États-Unis;-2640000000
2015-12-31;BNP;impot différé;États-Unis;-920000000
2015-12-31;BNP;impot sur bénéfice;États-Unis;-3560000000
2015-12-31;BNP;Effectif;États-Unis;15544
2015-12-31;BNP;resultats/effectifs;États-Unis;686438
2015-12-31;BNP;resultats/pnb;États-Unis;0.23956
2015-12-31;BNP;Produit Net Bancaire;Mexique;190000000
2015-12-31;BNP;Resultat avant impot;Mexique;30000000
2015-12-31;BNP;Effectif;Mexique;201
2015-12-31;BNP;resultats/effectifs;Mexique;149254
2015-12-31;BNP;resultats/pnb;Mexique;0.157895
2015-12-31;BNP;Produit Net Bancaire;Australie;1380000000
2015-12-31;BNP;Resultat avant impot;Australie;-40000000
2015-12-31;BNP;impot courant;Australie;-60000000
2015-12-31;BNP;impot différé;Australie;60000000
2015-12-31;BNP;Effectif;Australie;470
2015-12-31;BNP;resultats/effectifs;Australie;-85106.4
2015-12-31;BNP;resultats/pnb;Australie;-0.0289855
2015-12-31;BNP;Produit Net Bancaire;Chine;2070000000
2015-12-31;BNP;Resultat avant impot;Chine;1130000000
2015-12-31;BNP;impot courant;Chine;-40000000
2015-12-31;BNP;impot différé;Chine;-190000000
2015-12-31;BNP;impot sur bénéfice;Chine;-230000000
2015-12-31;BNP;Effectif;Chine;404
2015-12-31;BNP;resultats/effectifs;Chine;2.79703e+06
2015-12-31;BNP;resultats/pnb;Chine;0.545894
2015-12-31;BNP;Produit Net Bancaire;République de Corée;970000000
2015-12-31;BNP;Resultat avant impot;République de Corée;130000000
2015-12-31;BNP;impot courant;République de Corée;-20000000
2015-12-31;BNP;impot différé;République de Corée;-20000000
2015-12-31;BNP;impot sur bénéfice;République de Corée;-40000000
2015-12-31;BNP;Effectif;République de Corée;352
2015-12-31;BNP;resultats/effectifs;République de Corée;369318
2015-12-31;BNP;resultats/pnb;République de Corée;0.134021
2015-12-31;BNP;Produit Net Bancaire;Hong-Kong;6740000000
2015-12-31;BNP;Resultat avant impot;Hong-Kong;-100000000
2015-12-31;BNP;impot différé;Hong-Kong;-40000000
2015-12-31;BNP;impot sur bénéfice;Hong-Kong;-40000000
2015-12-31;BNP;Effectif;Hong-Kong;2382
2015-12-31;BNP;resultats/effectifs;Hong-Kong;-41981.5
2015-12-31;BNP;resultats/pnb;Hong-Kong;-0.0148368
2015-12-31;BNP;Produit Net Bancaire;Inde;1710000000
2015-12-31;BNP;Resultat avant impot;Inde;1250000000
2015-12-31;BNP;impot courant;Inde;-520000000
2015-12-31;BNP;impot différé;Inde;40000000
2015-12-31;BNP;impot sur bénéfice;Inde;-480000000
2015-12-31;BNP;Effectif;Inde;4109
2015-12-31;BNP;resultats/effectifs;Inde;304210
2015-12-31;BNP;resultats/pnb;Inde;0.730994
2015-12-31;BNP;Produit Net Bancaire;Indonésie;440000000
2015-12-31;BNP;Resultat avant impot;Indonésie;220000000
2015-12-31;BNP;impot courant;Indonésie;-90000000
2015-12-31;BNP;impot différé;Indonésie;10000000
2015-12-31;BNP;impot sur bénéfice;Indonésie;-80000000
2015-12-31;BNP;Effectif;Indonésie;135
2015-12-31;BNP;resultats/effectifs;Indonésie;1.62963e+06
2015-12-31;BNP;resultats/pnb;Indonésie;0.5
2015-12-31;BNP;Produit Net Bancaire;Japon;4570000000
2015-12-31;BNP;Resultat avant impot;Japon;2320000000
2015-12-31;BNP;impot courant;Japon;-500000000
2015-12-31;BNP;impot différé;Japon;-380000000
2015-12-31;BNP;impot sur bénéfice;Japon;-880000000
2015-12-31;BNP;Effectif;Japon;701
2015-12-31;BNP;resultats/effectifs;Japon;3.30956e+06
2015-12-31;BNP;resultats/pnb;Japon;0.507659
2015-12-31;BNP;Produit Net Bancaire;Malaisie;170000000
2015-12-31;BNP;Resultat avant impot;Malaisie;40000000
2015-12-31;BNP;Effectif;Malaisie;80
2015-12-31;BNP;resultats/effectifs;Malaisie;500000
2015-12-31;BNP;resultats/pnb;Malaisie;0.235294
2015-12-31;BNP;Produit Net Bancaire;Philippines;20000000
2015-12-31;BNP;Resultat avant impot;Philippines;10000000
2015-12-31;BNP;Effectif;Philippines;13
2015-12-31;BNP;resultats/effectifs;Philippines;769231
2015-12-31;BNP;resultats/pnb;Philippines;0.5
2015-12-31;BNP;Produit Net Bancaire;Singapour;6100000000
2015-12-31;BNP;Resultat avant impot;Singapour;2100000000
2015-12-31;BNP;impot courant;Singapour;-210000000
2015-12-31;BNP;impot différé;Singapour;10000000
2015-12-31;BNP;impot sur bénéfice;Singapour;-200000000
2015-12-31;BNP;Effectif;Singapour;2002
2015-12-31;BNP;resultats/effectifs;Singapour;1.04895e+06
2015-12-31;BNP;resultats/pnb;Singapour;0.344262
2015-12-31;BNP;Produit Net Bancaire;Taïwan;1380000000
2015-12-31;BNP;Resultat avant impot;Taïwan;680000000
2015-12-31;BNP;impot courant;Taïwan;-10000000
2015-12-31;BNP;impot différé;Taïwan;-30000000
